time,set rpm,read rpm,error,Kp,Ki,Kd
1,42,40,2,0,0,0
2,42,40,2,0,0,0
3,42,40,2,0,0,0
5,43,41,2,0,0,0
6,43,41,2,0,0,0
8,43,41,2,0,0,0
9,43,41,2,0,0,0
11,44,42,2,0,0,0
12,44,42,2,0,0,0
13,44,42,2,0,0,0
14,44,42,2,0,0,0
16,44,43,1,0,0,0
17,44,43,1,0,0,0
18,44,43,1,0,0,0
19,44,43,1,0,0,0
21,44,43,1,0,0,0
22,44,43,1,0,0,0
23,44,43,1,0,0,0
24,44,43,1,0,0,0
25,44,43,1,0,0,0
26,44,43,1,0,0,0
27,44,43,1,0,0,0
28,44,43,1,0,0,0
29,44,43,1,0,0,0
30,44,43,1,0,0,0
31,44,43,1,0,0,0
32,44,43,1,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
60,42,41,1,0,0,0
61,42,41,1,0,0,0
63,43,42,1,0,0,0
64,43,42,1,0,0,0
65,43,42,1,0,0,0
66,43,42,1,0,0,0
67,43,42,1,0,0,0
68,43,42,1,0,0,0
69,43,43,0,0,0,0
70,43,43,0,0,0,0
71,43,42,1,0,0,0
72,43,42,1,0,0,0
73,43,42,1,0,0,0
74,43,43,0,0,0,0
75,43,43,0,0,0,0
76,43,42,1,0,0,0
77,43,43,0,0,0,0
79,43,43,0,0,0,0
80,43,43,0,0,0,0
81,43,43,0,0,0,0
82,43,43,0,0,0,0
